segmentid,index,KO,SP
I-00-NS-01-0027,27,"시장과 시민들에 관해서요, 전자가 후자를 너무 싫어해요. ","En cuanto al alcalde y a los ciudadanos, éste repudia a aquellos. "
I-00-NS-01-0028,28,이 선물은 민지에게 아무도 주지 않았어요.,Ese regalo a Minji no se lo dio nadie.
I-00-NS-01-0029,29,"그 고장난 기계에 대해서, 내 사장님은 배터리가 없어서라고 설명했어요. ","En cuanto a la máquina averiada, mi jefe me explicó que no tenía batería. "
I-00-NS-01-0030,30,"그 프로젝트에 대해서, 사장님은 우리가 제안한 아이디어를 받아들이지 않으셨어요. ","En cuanto a ese proyecto, mi jefe no aceptará la idea de que ya lo hemos conseguido. "
I-00-NS-01-0031,31,"겨울왕국에 대해 말하자면, 그 영화를 본 내 딸은 정말 굉장했다고 나에게 말했다. ","Hablando de ""el reino de hielo"", mi niña, que ha visto esa película, me ha dicho que es muy bonita. "
I-00-NS-01-0032,32,"그 논문에 대해 언급하자면, 당신은 이틀 정도 휴식을 취하면 곧 그걸 마칠 수 있을겁니다.  ","Por lo que se refiere a esa tesis, te tomas un par de días de descanso y seguro que lo acabas pronto. "
I-00-NS-01-0033,33,대통령은 그러나 총리의 스캔들에 관해서 특별히 언급하지는 않았다.,El presidente no mencionó especialmente el escandálo del primer ministerio.
I-00-NS-01-0034,34,내 남자친구는 그거 별로 안좋아할거 같아.,A mi novio no le gustará mucho eso.
I-00-NS-01-0035,35,"산에는 갔어요, 근데 바다는 안갔어요. ","A la montaña fui, pero al mar no. "
I-00-NS-01-0036,36,그건 근데 너무 했다 진짜.,Eso realmente es muy malo.
I-00-NS-01-0037,37,그 음료수는 남편이 어제 나에게 사줬어요.,Esa bebida me la compró mi marido ayer.
I-00-NS-01-0038,38,너는 그 제안을 좋다고 받아들였니?,¿Tú has aceptado esa surgencia por gusto?
I-00-NS-01-0039,39,"오닉이, 사람 이름이 아니고 잘생기고 매력있는 고양이 이름이야. ","Onyx, eso no es un nombre de persona sino de un gato muy guapo y atractivo. "
I-00-NS-01-0040,40,토끼말이야.. 사실 동물 토끼가 아니고 고양이야.,Conejo... actualmente no es el animal sino el nombre de un gato.
I-00-NS-01-0041,41,"그 사람, 이상한 사람이면 어떡해요? ","Esa persona, ¿qué tengo que hacer si es una persona muy extraña?"
I-00-NS-01-0042,42,"우리 아들, 드디어 이번에 합격했어요. ",Mi hijo... por fin él ha aprobado.
I-00-NS-01-0043,43,"가짜 뉴스들, 저한테 제발 이런 것 좀 말하지 말아주세요.  ","Las noticias falsas, no me cuentes estas noticias por favor. "
I-00-NS-01-0044,44,시호.. 걔는 이상한 개그를 너무 좋아해.,A Siho le gusta mucho la comedia extraña.
I-00-NS-01-0045,45,"우리팀, 이번엔 우승 할수 있을거 같아? ","Nuestro equipo, ¿esta vez podrá ganar el campeón?"
I-00-NS-01-0046,46,"블랙핑크, 너도 봤어? ","¿Black Pink, las has visto a ellas también?"
I-00-NS-01-0047,47,"자세한 소식, 최세라 기자 전해주시죠. ","Más datos relacionados con esta histora, nos lo contará Sera Choi. "
I-00-NS-01-0048,48,이게 그리고 그렇게 간단한 문제가 아니더라구..,"Esto, esto no es un problema muy simple. "
I-00-NS-01-0049,49,"A: 저 선수 누구야? 
B: 저 선수가 올해 MVP에요. ","A: ¿Quién es ese jugador?
B: Ese jugador es el jugardor más valorado de este año. "
I-00-NS-01-0050,50,용식이 네가 진짜 사랑해?,¿A Yongsik lo quieres en serio?
I-00-NS-01-0051,51,산삼이가 제 친구가 키우는 고양이 이름이거든요.,Sansam es el nombre del gato de mi amiga.
I-00-NS-01-0052,52,핸드폰이 요즘 부모들 사이에서 가장 큰 걱정거리에요.,El movíl es una gran preocupación entre los padres estos días.
I-00-NS-01-0053,53,결혼이란 인생에서 가장 큰 축복이다.,El matrimonio es la gran felicidad de la vida.
I-00-NS-01-0054,54,자식이란 원래 마음대로 되지 않는 존재이다.,El niño es un ser que no podemos manipular.
I-00-NS-01-0055,55,대통령이란 국민의 목소리에 귀를 기울여야하는 사람이다.,El presidente es la persona que tiene que escuchar la voz del pueblo.
I-00-NS-01-0056,56,문법이란 언어에 내재되어 있는 규칙과 질서이다.,La gramática son la regla y el orden inherentes al idioma.
I-00-NS-01-0057,57,"A: 이번에 우리 아빠 차 망가뜨린거 청소년들이래.
B: 어휴 청소년들이란..","A: Quienes rompieron el coche de mi padre son unos adolecentes. 
B: Ay.. los adolescentes..."
I-00-NS-01-0058,58,"A: 은채에 대해 걱정이 많아? 
B: 은채야 걱정 없고 내 논문이 문제지 뭐..","A: ¿Te preocupa mucho Alicia?
B: Alicia no me preocupoa sino mi tesis..."
I-00-NS-01-0059,59,아 뭐 아기들끼리 싸우는거야 너무 당연한거 아닌가요?,"Que los niños se peleen es muy natural, ¿no?"
I-00-NS-01-0060,60,나야 모른척하면 그만이니 신경쓰지마.,"Yo voy a ignorar, por eso no te preocupes.  "
I-00-NS-01-0061,61,그와 결혼하는데 무슨 특별한 이유랄 것이야 있겠어요?,"¿La razón especial por la que me caso con él, eso existe realmente?"
I-00-NS-01-0062,62,이 책을 Alicia가 원한다.,ESTOS LIBROS quiere Alicia.
I-00-NS-01-0063,63,이 케이크들을 María가 싫어한다.,ESTAS TARTAS odia María.
I-00-NS-01-0064,64,"겨울에, 과일을 아주 조금 그들이 샀다. ","En invierno, POCAS FRUTAS compraron. "
I-00-NS-01-0065,65,문 앞에 편지 뒀어.,He dejado una carta delante de la puerta.
I-00-NS-01-0066,66,"A: 너 뭐 먹을래? 
B: 샌드위치 먹을래. ","A: ¿Qué quiere comer?
B: Quiero un sandwich. "
I-00-NS-01-0067,67,"A: 유하랑 은채랑 지금 뭐한대? 
B: 티비를 지금 보고있어.. 내일이 시험인데 말이야. ","A: ¿Qué hacen Yuha y Eunchae?
B: Están viendo la tele…aunque mañana es el examen. "
I-00-NS-01-0068,68,드디어 Galaxy S24를 Juan이 샀다.,Un GALAXY S24 compró Juan por fin.
I-00-NS-01-0069,69,"A: 석준이는 지금 어디 가나요? 
B: 학교에를 간대요. 일요일인데도요.  ","A: ¿A dónde va Seokjune ahora?
B: AL COLEGIO va él.. aun siendo domingo. "
I-00-NS-01-0070,70,"A: 그 레스토랑은 뭐가 맛있어? 
B: 빠에야가 진짜 맛있어요. ","A: ¿Qué está muy rico en ese restaurante?
B: Está muy rica la paella. "
I-00-NS-01-0071,71,"A: 누가 거기 있니?? 
B: 철수가 있어요. ","A: ¿Quién está allí?
B: Está Cheolsu. "
I-00-NS-01-0072,72,"A: 파리에 뭐가 유명해? 
B: 에펠탑이 유명하잖아. ","A: ¿Qué es conocido en Paris?
B: Es muy popular la Torre Effel. "
I-00-NS-01-0073,73,"A: 너네 반에서 누가 제일 똑똑하니? 
B: 은채가 진짜 똑똑해. ","A: ¿Quién es el más inteligente en tu clase?
B: Es muy inteligente Eunchae. "
I-00-NS-02-0074,74,윤도가 지금 먹는 것은 제가 사준 햄버거입니다.,Lo que Yundo está comiendo ahora es la hamburguesa que le he comprado.
I-00-NS-02-0075,75,하지만 이들 중 치료를 받을 수 있는 건 고양이와 강아지 뿐이고 나머지는 다른 수의사에게 가야합니다.,"Sin embargo, los que pueden recibir tratamiento son solo el gato y el perro. Los demás tienen que ir a otro veterinario. "
I-00-NS-02-0076,76,저희 엄마가 진짜 바라는 것은 누나의 결혼입니다.,Lo que mi madre desea mucho es el matrimonio de mi hermana.
I-00-NS-02-0077,77,내가 내 남편을 알게된 것은 그 해 11월이였다.,El momento en que yo conocí a mi marido fue en noviembre de ese año.
I-00-NS-02-0078,78,어제 이서와 윤도가 만난 것은 마드리드에서였다,El lugar donde Yiseo y Yundo se encontraron ayer fue Madrid.
I-00-NS-02-0079,79,스페인에 제일 많은게 하몽이야. 가서 많이 먹어.,Jamón es lo que hay mucho en España. Come mucho cuando vayas.
I-00-NS-02-0080,80,정부가 탈북민에 대해 우호적인 정책을 펼친게 2000년부터였지 그 전에는 이렇지 않았다.,Fue en el 2000 cuando el gobierno coreano llevó a cabo una medida favorable para los refugiados de Corea del Norte.
I-00-NS-02-0081,81,내가 진짜 속상했던게 아무 말도 없이 네가 떠나 버린거야.,Me da lástima que te fueras sin despedirte.
I-00-NS-02-0082,82,콜럼버스가 라틴아메리카를 발견한게 아마 1492년이었지?,¿Sería en 1492 cuando Columbus descubrió Latinoamérica?
I-00-NS-02-0083,83,그 회사에서 일하는게 그렇게 힘들었니?,¿Te costaba tanto trabajar en esa empresa?
