segmentid,index,KO,SP
M-IS-PR-03-0179,179,그녀들은 이 병원의 간호사들입니다.,Ellas son enfermeras de este hospital.
M-IS-PR-03-0180,180,내가 어릴 때 축구하는 것을 좋아했어요.,"Cuando era niña, me gustaba jugar al fútbol. "
M-IS-PR-03-0181,181,내가 어릴때 축구를 좋아하게 되었어요.,"Cuando era niña, me empezó a gustar jugar al fútbol."
M-IS-PR-03-0182,182,작년에 나는 후안을 몰랐다.,No conocía a Juan el año pasado.
M-IS-PR-03-0183,183,작년에 후안을 알게되었다.,Conocí a Juan el año pasado.
M-IS-PR-03-0184,184,그 해에 이 차를 가지고 있었어요.,Tenía ese coche en ese año.
M-IS-PR-03-0185,185,그 해에만 이 차를 가지고 있었어요.,Tuve ese coche en ese año.
M-IS-PR-03-0186,189,나는 그차를 1년동안 가지고 있었어요.,Tuve ese coche un año.
M-IS-PR-03-0187,187,공부를 열심히 했지만 시험에 합격하지 못했어요.,"Estudiaba mucho, pero no podía aprobar el examen."
M-IS-PR-03-0188,188,지난주 일요일에 공부를 많이 하고 술을 많이 마셨어요.,El domingo pasado estudié mucho y tomé mucho alcohol.
M-IS-PR-03-0189,189,스페인에 살때 매일 많이 달리곤 했어요.,Todos los días corría mucho cuando vivía en España.
M-IS-PR-03-0190,190,어제 늦게 일어나 사무실까지 달렸어요.,Ayer corrí hasta la oficina porque me levanté muy tarde.
M-IS-PR-03-0191,191,작년에는 늦게 일어나곤 했어요.,Me levantaba muy tarde el año pasado.
M-IS-PR-03-0192,192,어제 늦게 일어났어요.,Ayer me levanté muy tarde.
M-IS-PR-03-0193,193,나는 아빠하고 너는 엄마하면서 놀자.,Vamos a jugar a que yo era un papá y tú eras una mamá.
M-IS-PR-03-0194,194,가능하다면 너를 도울텐데.,"Si pudiera, te ayudaba. "
M-IS-PR-03-0194,194,가능하다면 너를 도울텐데.,"Si pudiera, te ayudaría."
M-IS-PR-03-0195,195,너 영어할줄 몰랐나?,¿Tú no sabías el inglés?
M-IS-PR-03-0196,196,소금을 줄래?,¿Puedes darme sal?
M-IS-PR-03-0197,197,소금을 줄 수 있나요?,¿Podía darme sal?
M-IS-PR-03-0198,198,소금을 주실수 있나요?,¿Podríá darme sal?
M-IS-PR-03-0199,199,소금을 줘.,Dame sal.
M-IS-PR-03-0200,200,오늘 내 아들은 도서관에 없을거에요.,Hoy mi hijo no estará en la biblioteca.
M-IS-PR-03-0201,201,내일 내 아들은 도서관에 없을거에요.,Mi hijo no estará en la biblioteca mañana.
M-IS-PR-03-0202,202,어제 우리 아빠는 빠에야를 드셨을거에요.,Ayer mi padre comería paella.
M-IS-PR-03-0203,203,우리 아빠는 빠에야를 먹었을거야,Mi padre comería una paella
M-IS-PR-03-0204,204,오늘 아침에 아침을 먹지 않았어요.,Esta mañana no he desayunado.
M-IS-PR-03-0205,205,오늘 아침에 아침을 먹지 않았어요.,Esta mañana no desayuné.
M-IS-PR-03-0206,206,어제 많이 싸워서 오늘 남동생이랑 한마디도 얘기를 안했어요.,Hoy no he hablado nada con mi hermano porque ayer discutimos mucho
M-IS-PR-03-0207,207,우리는 아프리카에 여행 간적이 없어요.,Nunca hemos viajado a África.
M-IS-PR-03-0208,208,너희들 빠에야 먹어봤니?,¿Alguna vez habéis comido paella?
M-IS-PR-03-0209,209,집에 도착했을때 엄마는 이미 저녁을 다 준비해놨다.,"Cuando llegué a casa, mi madre ya había preparado la cena. "
M-IS-PR-03-0210,210,네가 도착했을 때 수업은 이미 끝나있을 것이다.,Ya habrá terminado la clase cuando llegues.
M-IS-PR-03-0211,211,선생님이 내일 퀴즈가 있을거라고 우리에게 말했다.,Mi profesor nos dijo que mañana tendríamos el quiz.
M-IS-PR-03-0212,212,선생님이 지난주에 우리에게 많이 화가났었다고 말했다.,Mi profesor nos dijo que la semana anterior se había enfadado con nosotros.
M-IS-PR-03-0213,213,"내가 너라면, 그에게 아무것도 말하지 않을거야.","Si yo fuera tú, no les diría nada."
M-IS-PR-03-0214,214,내가 돈이 많다면 이미 그 럭셔리한 차를 가지고 있었을텐데.,"Si hubiera tenido mucho dinero, ya tendría un coche de lujo. "
M-IS-PR-03-0215,215,네가 시험에 합격하길 바라.,Ojála apruebes el examen.
M-IS-PR-03-0216,216,네가 시험에 합격하길 바랬어.,Ojála aprobaras el examen
M-IS-PR-03-0217,217,네가 시험에 합격했길 바라.,Ojála hayas aprobado.
M-IS-PR-03-0218,218,네가 시험에 합격했길 바랬어.,Ojála huberas aprobado.
M-IS-PR-03-0219,219,아마 Juan이 아플거야.,Posiblemente Juan esté muy enfermo.
M-IS-PR-03-0220,220,아마 Juan이 아팠을거야.,Posiblemente Juan haya estado muy enfermo.
M-IS-PR-03-0221,221,아마 Juan이 아팠을거야.,Posiblemente Juan estuviera muy enfermo.
M-IS-PR-03-0222,222,아마 Juan이 아팠을거야.,Posiblemente Juan hubiera estado muy enfermo.
M-IS-PR-03-0223,223,네가 행복하길 바랄게.,Que seas feliz.
M-IS-PR-03-0224,224,"조용히하라고 했잖아, 안들려. ","Que te calles, que no oigo."
M-IS-PR-03-0225,225,다음분 들어오세요.,Que pase el siguiente.
M-IS-PR-03-0226,226,어린이들은 줄을 서주길 바랍니다.,"Por favor, que los niños se pongan en una fila."
M-IS-PR-02-0227,227,오늘은 우리 회의를 하지 말자.,Hoy no vamos a tener reunión.
M-IS-PR-02-0228,228,밥 먹으면서 핸드폰을 하지 말아라.,No estés con / No uses el móvil mientras comes.
M-IS-PR-02-0229,229,내가 이 책을 읽어야해서 지금 빌려주지 못해.,"Como tengo que leer este libro, no puedo prestártelo. "
M-IS-PR-02-0230,230,내가 이 책을 읽어야해서 지금 못 빌려줘.,"Como tengo que leer este libro, no puedo prestártelo. "
M-IS-PR-02-0231,231,나 지금 아기를 봐야해서 나가지 못해.,"Como tengo que cuidar a mi niño, no puedo salir. "
M-IS-PR-02-0232,232,이번에는 네가 회의에 참석하지 않으면 안돼.,Esta vez debes participar en la reunión.
M-IS-PR-02-0233,233,그 소식을 들었을때 안타까운 맘이 없지는 않았어요.,Mi dio mucha pena escuchar esa noticia.
M-IS-PR-02-0234,234,저는 그 의견에 반대하진 않습니다.,No estoy en contra de esa idea.
M-IS-PR-02-0235,235,시험 결과가 나쁘진 않아요.,El resultado del examen no es tan malo.
M-IS-PR-02-0236,236,나에게 곧 편지를 꼭 써주세요.,No deje Ud. de escribirme pronto.
M-IS-PR-02-0237,237,나는 웃지 않을 수 없었어요.,No pude menos que reír.
M-IS-PR-02-0238,238,네가 그렇게까지 부탁하는데 내가 그 일을 하지 않을 수 없네.,No puedo menos que hacer ese trabajo considerando que me pides mucho.
M-IS-PR-02-0239,239,돈이 부족하진 않아. 전기 요금은 낼 수 있어.,No me hace falta más dinero. Puedo pagar la tarifa de la luz.
M-IS-PR-02-0240,240,그가 부정행위를 했다는 걸 교수님이 모르진 않았어요.,El profesor no ignoraba que él engañó en el examén.
M-IS-CM-02-0259,259,그 차의 색은 독특하다.,El color del coche es muy distintivo.
M-IS-CM-02-0260,260,어제 새로운 옷을 샀다.,Ayer compré ropa nueva.
M-IS-CM-02-0261,261,잘생긴 남자가 방금 카페에 들어왔다.,Hace un rato un hombre guapo entró a la cafetería.
M-IS-CM-02-0262,262,외국인 학생들은 모두 기숙사에 산다.,Todos los estudiantes extranjeros viven en dormitorios.
M-IS-CM-02-0263,263,그 동물원에는 다양한 동물들이 있다.,Hay varios animales en el zoológico
M-IS-CM-02-0264,264,봄에는 예쁜 꽃들이 핀다.,En primavera florecen las flores bonitas.
M-IS-CM-03-0265,265,그는 매우 똑똑하다.,Él es muy inteligente.
M-IS-CM-03-0266,266,내 아이는 반에서 가장 키가 큽니다.,Mi niño es el más alto de su clase.
M-IS-CM-03-0267,267,아빠는 자주 테니스를 치십니다.,Mi padre juega al tenis frecuentemente.
M-IS-CM-03-0268,268,나는 가끔 술을 마십니다.,A veces tomo alcohol.
M-IS-CM-03-0269,269,매일 운동을 하는것은 중요합니다.,Es muy importante hacer ejercicio todos los días.
M-IS-CM-03-0270,270,당분간 저는 회사를 가지 않습니다.,Durante un tiempo no voy a trabajar.
M-IS-CM-03-0271,271,이번 모임에 꼭 참석해주세요.,"Ven a la reunión, por favor. "
M-IS-CM-03-0272,272,그 아이는 벌써 스스로 양치를 합니다.,El niño ya se lava los dientes solo.
M-IS-CM-03-0273,273,그 소식을 듣고 나는 급히 병원으로 갔다.,"Al escuchar la noticia, fui al hospital deprisa."
M-IS-CM-03-0274,274,얌전히 앉아 있으렴.,Siéntate tranquila.
M-IS-CM-03-0275,275,그 학생은 멀찍이 서있었다.,El estudiante estaba lejos.
M-IS-CM-03-0276,276,거북이는 느리게 기어간다. ,La tortuga gatea lento. 
M-IS-CM-03-0277,277,그는 빠르게 교수님의 말을 적었다.,Él apuntó muy rápido lo que dijo el profesor.
M-IS-CM-03-0278,278,아이가 길을 안전하게 건널수 있도록 길을 통제했다.,La policía controló el tráfico para que el niño cruzara la calle con seguridad.
M-IS-CM-03-0279,279,아이가 길을 안전하게 건널수 있도록 도와줬다.,Ayudé al niño a cruzar la calle con seguridad.
M-IS-CM-03-0280,280,나는 매일 학교에 걸어서 간다.,Todos los días voy al colegio a pie.
M-IS-CM-03-0281,281,강이 깊어서 수영은 못했다.,No podía nadar porque el río es profundo.
M-IS-CM-03-0282,282,그는 키가 매우 크다.,Él es muy alto.
M-IS-CM-03-0283,283,나는 항상 7시에 일어난다.,Siempre me levanto a las siete.
M-IS-CM-03-0284,284,방금 전에 무슨 일이 일어난거니?,¿Qué ha pasado hace un rato?
M-IS-CM-03-0285,285,나는 앞으로 절대 그애와 얘기 안할거야.,Nunca hablaré con ese chico.
M-IS-CM-03-0286,286,나는 외국어를 공부하는걸 정말 좋아해.,Me gusta mucho estudiar idioas extranjeras.
M-IS-CM-03-0287,287,그는 이미 충분히 크게 얘기하고 있어요.,-¿Puede hablar un poco más alto? -¿Más? Ya habla bastante alto.
M-IS-CM-03-0288,288,그 차는 빨리 달린다.,El coche va rápido.
M-IS-CM-03-0289,289,얌전히 먹어.,Come tranquilo.
M-IS-CM-03-0290,290,오늘 눈이 엄청 많이 왔다.,"No oigo nada, ¿puedes hablar más alto, por favor?"
M-IS-CM-03-0291,291,내 조부모님은 잘 듣지 못하신다.,Mis abuelos oyen fatal.
M-IS-CM-03-0292,292,택시 기사가 너무 운전을 끔찍하게 해서 나 너무 무서웠어.,"El taxista conducía horrible, por eso me daba mucho miedo. "
M-IS-CM-03-0293,293,나 급하게 가야해.,Tengo que irme urgentemente.
M-IS-CM-03-0294,294,내 고양이는 소파에서 평화롭게 잔다.,Mi gato duerme plácidamente en el sillón.
M-IS-CM-03-0295,295,그는 조용히 집에 들어왔다.,Él entró tranquilamente en casa.
M-IS-CM-03-0296,296,"네가 ""네""라고 말하는걸 분명히 들었어.","Yo oí claramente que dijiste ""sí""."
M-IS-CM-03-0297,297,자전거 도로는 그 이름이 가리키듯 자전거만을 위한 도로입니다.,"Un carril bici está, como su nombre indica, reservado para bicis. "
M-IS-CM-03-0298,298,스페인 역사에서 중요한 순간만을 공부하자.,Solo estudiamos los momentos clave de la historia de España.
M-IS-CM-03-0299,299,나는 예전엔 좀 변두리에살았는데 지금은 마드리드에 살고 그래서 너무 좋아.,"Yo antes vivía en una ciudad dormitorio, pero ahora vivo en Madrid y me encanta. "
M-IS-CM-03-0300,300,이슬람 국가들에게서 여자들은 아직도 물건처럼 여겨진다.,En los países musulmanes las mujeres son mujeres objetos.
M-IS-CM-03-0301,301,요즘 유럽연합 회원국들은 우크라이나 전쟁에 관해 많이 논의한다.,Hoy en dia los países miembro de la UE discute mucho de la guerra en Ucrania.
M-IS-CM-03-0302,302,소련의 위성국들은 여전히 러시아의 영향하에 있다.,Estados satélite de la Unión Soviética todavia están bajos de la influencia de Rusia.
M-IS-CM-03-0303,303,스페인에서 많은 여자들은 이제 꽃같은 여자로 남고 싶어하지 않는다.,En España muchas mujeres ya no quieren ser mujeres florero.
