sentenceid,index,KO,SP,KO_word,SP_word,direction
L-00-DO-01-0060,60,가는 돈이 억수로 많다.,Ese chico tiene mucho dinero.,억수로,mucho,K > S
L-00-DO-01-0061,61,그 산에 낭구가 많뎌~,En esta montaña había muchos árboles.,낭구,árbol,K > S
L-00-DO-01-0062,62,상 가생이에 그거 두지 말어~,No dejes eso en la orilal de la mesa.,가생이,orilla,K > S
L-00-DO-01-0063,63,거진 다 했다.,Casi he terminado.,거진,casi,K > S
L-00-DO-01-0064,64,-아드님 어디 계세요? -가직헌디 없디?,-¿Dónde está su hijo? - ¿No está por aquí?,가직헌,cerca,K > S
L-00-DO-01-0065,65,암시랑 않네. 어서 앞장 서게.,No pasa nada. Adelante.,암시랑 않네,No pasa nada,K > S
L-00-DO-01-0066,66,"후안 뛰어, 나 진짜 급해.","Corre Juan, que tengo mucha bulla",급해,bulla,S > K
L-00-DO-01-0067,67,너는 불친절한 사람이야.,Eres un sieso.,불친절한 사람,sieso,S > K
L-00-DO-01-0068,68,우리가 갔던 그 콘서트는 엄청 좋았어.,El concierto al que fuimos estuvo muy chido.,좋은,chido,S > K
L-00-DO-01-0069,69,우리 맥주 꺼내서 너의 생일 파티를 해보자!,Vamos a sacar las chelas y celebrar tu cumpleaños!,맥주,chela,S > K
L-00-DO-01-0070,70,우리 아파트에는 많은 외국인들이 산다.,"En mi departamento, viven muchos extranjeros. ",아파트,departamento,S > K
L-00-DO-01-0071,71,그녀는 수업시간에 항상 많이 말한다.,Ella siempre platica mucho en la clase.,말한다,platica,S > K
L-00-DO-01-0072,72,굉장히 매력적인 제안이네요.,Muy piola esa propuesta,매력적인,piola,S > K
L-00-DO-01-0073,73,"나는 바보인가봐, 차 키를 두고 왔어. ","“Seré boludo, olvidé las llaves del auto”.",바보,boludo,S > K
L-00-DO-01-0074,74,내 차는 주차장에 있어.,Mi carro está en estacionamiento.,차,carro,S > K
L-00-DO-01-0075,75,클럽에 남자놈들이 진짜 많네.,Hay muchos pibes en la discoteca.,남자,pibe,S > K
L-00-DO-01-0076,76,다 젖지 않으려면 우산을 챙겨 가렴.,"Para no choparse, lleva el paraguas. ",젖다,choparse,S > K
L-00-DO-01-0077,77,요리하려면 냄비가 하나 필요해.,"Para cocinar, necesitamos un cazo. ",냄비,cazo,S > K
L-00-DO-01-0078,78,엊그제 우리 여기 왔었어요.,"Antier, venimos acá.",엊그제,antier,S > K
L-00-DO-01-0079,79,그는 내 학교 친구고 그녀는 내 대학교 친구에요.,Él es mi pana del colegio y ella mi pana de la universidad.,친구,pana,S > K
L-00-DO-01-0080,80,이봐 나한테 농담 아무거나 해봐. 나 좀 웃고 싶어.,Oye cuéntame un cacho que me quiero reír un poco,농담,cacho,S > K
L-00-DO-02-0081,81,한국은 작년 무역수지가 적자였다.,El año pasado la balanza comercial de Corea era negativa.,무역수지,balanza comercial,ambos
L-00-DO-02-0082,82,그 배우는 많은 악플러들을 명예훼손으로 고소했어요.,El actor acusó de difamación a muchos troles.,명예훼손,difamación,ambos
L-00-DO-02-0083,83,그 배우는 많은 악플러들을 명예훼손으로 고소했어요.,El actor acusó de difamación a muchos troles.,악플러들,troles,ambos
L-00-DO-02-0084,84,약관을 참조하시기 바랍니다.,"Consulta las cláusulas, por favor.",약관,cláusula,ambos
L-00-DO-02-0085,85,국민 평균 명목소득이 3년새 많이 향상 되었어요.,El ingreso nominal promedio del país ha mejorado significativamente en los últimos tres años.,명목소득,ingreso nominal,ambos
L-00-DO-02-0086,86,그 회사의 전환사채 발행 횟수가 많이 3년새 많이 증가하였어요.,El número de bonos convertibles emitidos por esa empresa ha aumentado mucho en los últimos tres años.,전환사채,bono convertible,ambos
L-00-DO-02-0087,87,보호무역은 국가가 무역에 개입하는 가장 대표적인 예시입니다.,El comercio protegido es el ejemplo representativo de que el gobierno interviene en comercios internacionales.,보호무역,comercio protegido,ambos
L-00-DO-02-0088,88,엔화 환율이 많이 하락해서 일본 여행가기 너무 좋아.,"El tipo de cambio del yen ha bajado mucho, por eso es muy buena hora para viajar a Japón.",환율,tipo de cambio,ambos
L-00-DO-02-0089,89,한국은행은 시중금리를 동결시켰습니다.,El Banco de Corea congeló los tipos de interés comercial.,시중금리,tipo de interés comercial,ambos
L-00-DO-02-0090,90,당신이 투자하려는 회사의 신용등급은 어떤가요?,¿Cómo es el ratio de solvencia de la empresa que quiere usted invertir?,신용등급,ratio de solvencia,ambos
L-00-DO-02-0091,91,판사는 심신미약의 사유로 그 피고인을 기소유예 판결 하였다.,El juez determinó la anulación de la acusación por debilidad física y mental.,기소유예,anulación de acusación,ambos
L-00-DO-02-0092,92,집을 사기 전에 꼭 그 집의 등기를 확인해봐야해.,"Antes de comprar una casa, se tiene que comprobar el registro de la propiedad de la casa. ",등기,registro,ambos
L-00-DO-02-0093,93,소송을 하기 전에 소송 요건을 충족하였는지 먼저 알아봐야해요.,"Antes de demandar, se tiene que comprobar si fueron satisfechos los requisitos de pleito. ",소송요건,requisitos de pleito,ambos
L-00-DO-02-0094,94,요즘 대부분의 국가는 삼권분립을 추구하고 있습니다.,"Hoy en día, la mayoría de los países persiguen la separación de los tres poderes.",삼권분립,separación de los tres poderes,ambos
L-00-DO-02-0095,95,그 시는 공공의료기관을 짓기 위한 수의계약을 하려고 합니다.,Ese ayuntamiento trata de hacer contrato privado para construir el nuevo hospital público.,수의계약,contrato privado,ambos
L-00-DO-02-0096,96,그 교수는 백내장을 앓았으나 다행히 각막이식을 받아 회복되었어요.,"El profesor padecía cataratas, pero afortunadamente se recuperó tras recibir un trasplante de córnea.",각막이식,transplantación de córnea,ambos
L-00-DO-02-0097,97,그 환자의 에이즈 감염경로가 불투명합니다.,No sabe cuál es la vía de infección de SIDA de ese paciente.,감염경로,vía de infección,ambos
L-00-DO-02-0098,98,채혈 후 모세혈관이 터져 멍이 들수 있어요.,"Después de que se extrae sangre, algunos capilares pueden estallar y salir morados. ",모세혈관,capilar,ambos
L-00-DO-02-0099,99,악성종양 치료에는 동맥주사가 쓰입니다.,La inyección arterial se utiliza para tratar tumores malignos.,동맥주사,inyección arterial,ambos
L-00-DO-02-0100,100,신경조직 이식에 관한 연구가 현재 활발히 진행중입니다.,El estudio de trasplante de tejido nervioso está en marcha.,신경조직,tejido nervioso,ambos
L-00-DO-02-0101,101,그 약은 발기부전에 효과적인 약이에요.,Este medicamento es muy efectivo para la impotencia.,발기부전,impotencia,ambos
L-00-DO-02-0102,102,우리 사장님은 갑자기 말기 암 판정을 받으셨어요.,"De repente, a mi jefe le diagnosticaron un cáncer terminal.",말기 암,cáncer terminal,ambos
L-00-DO-02-0103,103,원심운동은 원 운동을 하는 물체가 회전 중심에서 멀어지는 현상입니다.,El movimiento centrífugo es el fenómeno en el que un objeto en movimiento circular se aleja del centro de rotación.,원심운동,movimiento centrífugo,ambos
L-00-DO-02-0104,104,그 물질의 원자구조를 한번 확인해봐야겠어.,Tengo que comprobar la estructura del átomo.,원자,átomo,ambos
L-00-DO-02-0105,105,삼중수소는 인간에게 그렇게 위험하지 않습니다.,El tritio no es tan peligroso para los húmanos.,삼중수소,tritio,ambos
L-00-DO-02-0106,106,"샤를의 법칙에 따르면 압력이 일정할 때 기체의 온도가 높아지면 기체의 부피가 증가하고, 온도가 낮아지면 부피가 감소합니다. ","Según la ley de Charles, cuando la presión es constante y la temperatura de un gas aumenta, el volumen del gas aumenta; y, cuando la temperatura disminuye, el volumen disminuye.",샤를의 법칙,ley de Charles,ambos
L-00-DO-02-0107,107,복사에너지는 적외선이나 광선 등의 복사선이 운반하는 에너지를 말합니다.,"La energía radiante se refiere a la energía transportada por la radiación, como los rayos infrarrojos o los rayos de luz.",복사에너지,energía radiante,ambos
L-00-DO-02-0108,108,오늘 혼성합창 공연도 있나요?,¿Hoy hay un concierto de coro mixto?,혼성합창,coro mixto,ambos
L-00-DO-02-0109,109,이 부분은 크레센도로 연주해야해.,Esta parte debe tocarse con un crescendo.,크레센도,crescendo,ambos
L-00-DO-02-0110,110,그녀는 그 합창단에서 가장 뛰어난 소프라노입니다.,Ella es la mejor soprano en ese coro.,소프라노,soprano,ambos
L-00-DO-02-0111,111,정당정치는 정당이 정치적실권을 가지는 정치입니다.,La política de partidos es una política en la que los partidos políticos tienen poder político real.,정당정치,política de partido,ambos
L-00-DO-02-0112,112,스페인은 연방제인가요?,¿España es un sistema federal?,연방제,sistema federal,ambos
L-00-DO-02-0113,113,어제 이강인이 넣은 골은 패널티킥이었어요.,El gol de Kangin Lee del partido de ayer fue un tiro de penalti.,패널티킥,penalti,ambos
L-00-DO-02-0114,114,메시가 코너킥을 찬 후 골이 들어갔습니다.,El gol vino después de que Messi sacara de córner.,코너킥,saque de córner,ambos
L-00-DO-02-0115,115,분명한 오프사이드였으나 심판은 그걸 보지 못했습니다.,Fue un claro fuera de juego pero el árbitro no lo vio.,오프사이드,fuera de juego,ambos
L-00-DO-03-0116,116,그 어린 선수는 첫번째 경기에서 홈런을 쳤습니다.,El joven jugador consiguió un home run en su primer partido.,홈런,home run,ambos
L-00-DO-03-0117,117,그 테니스 선수를 리버스를 진짜 잘하는 챔피언이다.,Ese tenista tiene el mejor revés del campeonato.,리버스,revés,ambos
L-00-DO-03-0118,118,Kim은 2개의 터치다운을 위해 달렸다.,Kim corrió para dos touchdowns.,터치다운,touchdown,ambos
L-00-DO-03-0119,119,축구에서 파울은 선수가 경기의 규칙을 위반하는 경우 부과됩니다.,"Una falta, en fútbol, se produce cuando un jugador comete una infracción de las reglas del juego.",파울,falta,ambos
L-00-DO-03-0120,120,마지막 순간에 3점슛을 넣어서 경기에서 이길 수 있었다.,Metió un triple en el último segundo y ganaron el partido.,3점 슛,triple,ambos
L-00-DO-03-0121,121,주식시장에서 개미들은 돈을 잃기가 너무 쉬워요.,"En el mercado de acciones, es muy fácil que los inversores particulares pierdan dinero. ",개미,inversores particulares,K >S
L-00-DO-03-0122,122,정보의 주작질은 이 신문사의 큰 문제이다.,La manipulación de información es un gran problema de este periódico.,주작질,manipulación,K >S
L-00-DO-03-0123,123,"너 농담이지, 그렇지?","Estás de coña, ¿no?",농담이다,de coña,S > K
L-00-DO-03-0124,124,그 골키퍼 기름손이라 나는 별로 안좋아해.,No me gusta ese portero porque tiene manos de mantequilla.,기름,mantequilla,ambos
L-00-DO-03-0125,125,나 지금 궁서체로 말하는거야.,Ahora te lo digo en serio.,궁서체,en serio,K >S
L-00-DO-03-0126,126,지금 할인기간이야. 뭔가 득템 좀 해보자.,Son rebajas. Vamos a pillar algo.,득템하다,pillar,ambos
L-00-DO-03-0127,127,동방에서 지금 동아리 회의를 하고 있어.,En la sala del grupo hay una reunión.,동방,sala del grupo,K >S
L-00-DO-03-0128,128,Juan은 여자친구랑 헤어져서 잠수탔어.,"Juan ha roto con su novia, por eso se ha esfumado. ",잠수타다,se ha esfumado,ambos
L-00-DO-03-0129,129,Juan은 항상 무임승차를 해서 아무도 그와 일하고 싶어하지 않는다.,Nadie quiere trabajar con Juan porque es un paquete siempre.,무임승차,paquete,ambos
L-00-DO-03-0130,130,"스드메 그렇게 빨리 준비하지마, 결혼식까지 아직 많이 남았잖아. ","No te arregles tan pronto, que todavía queda bastante hasta la boda. ",스드메,arreglarse,K >S
L-00-DO-03-0131,131,그 악개는 악플을 너무 많이 달더라.,Ese aficionado que le gusta solo un miembro de un gropu musica escribe muchos comentarios malos.,악개,aficionado que le gusta solo un miembro de un grupo musical.,K >S
L-00-DO-03-0132,132,"나는 Luis가 너무 싫어, 매주 주말마다 걔는 걔 잘난 친구들이랑 맨날 놀거든.","Estoy harta de Luis, todos los fin de semana sale con sus amigotes. ",잘난 친구들,amigotes,S > K
L-00-DO-03-0133,133,오늘 퇴근하고 맥주 한잔 할래?,"Cuando salgamos de trabajar hoy, ¿nos vemos de cañas?",맥주,cañas,S > K
L-00-DO-03-0134,134,니 셔츠 내 취향 저격이다.,Me mola mucho tu camiseta.,취향 저격이다,mola,ambos
L-00-DO-03-0135,135,어제 파티에서 우리는 끝내주게 보냈다.,Nos lo pasamos de muerte en la fiesta de ayer.,끝내주게,de muerte,ambos
L-00-DO-03-0136,136,장난감을 정리하려고 했는데 다 망했어.,Intenté arreglar el juguete y me lo cargué.,다 망했어.,me lo cargué,S > K
L-00-DO-03-0137,137,내일은 휴일인데 나는 일해야해.,Mañana es festivo pero yo tengo que currar.,일하다,currar,S > K
L-00-DO-03-0138,138,"너 똥손이라서 망가뜨릴거 같아, 내가 할게.","Lo hago yo, que tú eres un manazas, seguro que lo rompes",똥손,manazas,ambos
L-00-DO-03-0139,139,나 땡전 한푼도 없어서 이번 주말에 나갈 수 없어.,"Este finde no puedo salir, no tengo pelas.",땡전,pelas,ambos
L-00-DO-03-0140,140,사장님은 그 소식을 들었을때 엄청 빡쳤어.,El jefe se cabreó mucho cuando se enteró.,빡쳤다,se cabreó,ambos
L-00-DO-03-0141,141,나는 이 사건으로 너무 바빠서 뭘 해야할지 모르겠어.,"No sé que hacer, estoy muy liada con este asunto. ",바쁘다,liada,S > K
L-00-DO-03-0142,142,그 소식을 들었을때 엄청 식겁했다.,Estaba muy flipando al oír esa noticia.,식겁했다,flipando,S > K
L-00-DO-03-0143,143,그녀가 이미 남자친구가 있다는 말을 들었을때 기분이 정말 엿같았다.,Me dio mucho bajón cuando me dijeron que ella ya tenía novio.,엿같았다,dio mucho bajón,ambos
L-00-DO-03-0144,144,그 그룹이 우리 노래를 불렀을 때 기분이 쩔었다.,Qué subidón cuando el grupo cantó nuestra canción.,쩔었다,subidón,ambos
L-00-DO-03-0145,145,진짜 예술이다.,¡Qué arte!,예술이다,¡Qué arte!,ambos
L-00-DO-04-0146,146,아가리 닥쳐.,Cierra tu puta boca,아가리,puta boca,ambos
L-00-DO-04-0147,147,너는 존나 좋은 친구야.,Eres un amigo de puta madre.,존나 좋은,de puta madre,ambos
L-00-DO-04-0148,148,항상 양놈들이 멕시코에서 문제야.,Siempre los gringos son un problema en México.,양놈들,gringos,ambos
L-00-DO-04-0149,149,시발 진짜 짜증나는 인간이네. 쉴새 없이 말해.,"Joder, que hombre más pesado. Habla sin parar.",시발,joder,ambos
L-00-DO-04-0150,150,걔는 동시에 세명의 여자친구를 사귀었어. 진짜 개자식이야.,"Él tenía tres novias al mismo tiempo, es cabrón.",개자식,cabrón,ambos
L-00-DO-04-0151,151,"오늘 좆같은 하루였어, 나 외출 좀 해야겠어.","He tenido un día de mierda, necesito salir.",좆같다,mierda,ambos
L-00-DO-04-0152,152,진짜 꺼져 뭐하는거야,"Vete a la mierda, ¿Qué haces aquí?",꺼져,vete,ambos
L-00-DO-04-0153,153,"어떻게 그 자리에 올라갔는지 모르겠어, 걔 진짜 멍청이인데. ",No sé cómo ha llegado tan alto porque es imbécil,"멍청이, 백치",imbécil,ambos
L-00-DO-04-0154,154,정신나간 멍청이네.,Es tonto perdido.,정신나간,perdido,ambos
L-00-DO-04-0155,155,시발년! 나한테 레드카드나 주고!,¡Tu puta madre! Me ha dado tarjeta roja.,시발년,tu puta madre,ambos
L-00-DO-04-0156,156,"내 사장님은 진짜 나쁜놈이야, 항상 마초적인 얘기만 해. ","Mi jefe es gilipollas, siempre dice algo machista.",나쁜놈,gilipollas,ambos
L-00-DO-04-0157,157,와 너 미쳤네!,¡Qué loca estás!,미친,loco,ambos
L-00-DO-04-0158,158,야 너 안할꺼야? 쫄보네.,"Venga, ¿no te atreves? Eres un marica. ",쫄보,marica,ambos
L-00-DO-04-0159,159,"윗집 사람이랑 얘기하지마, 진짜 또라이야.","No hables con el vecino de arriba, está tronado. ",또라이,tronado,ambos
L-00-DO-04-0160,160,"요즘 나 제정신이 아냐, 나 진짜 모든걸 까먹어. ","Últimamente se me va la olla, se me olvida todo. ",제정신이 아냐,se me va la olla,ambos
L-00-DO-04-0161,161,나한테 얘기하는걸 듣고 진짜 멘붕이었어.,Me rallé mucho con lo que me estaba diciendo.,멘붕이었어,me rallé,ambos
L-00-DO-04-0162,162,나 좆망이었어. 나 Juan 여자친구를 파티에 초대했는데 이미 헤어진 뒤었어.,La he cagado: he invitado a la novia de Juan a la fiesta y ya no están juntos.,좆망이었어,la he cagado,ambos
L-00-DO-05-0163,163,"이모님, 여기 컵 두개만 더 주세요.","Camarera, aquí dos copas de más, por favor.",이모님,camarera,ambos
L-00-DO-05-0164,164,아가씨 여기 컵 두개 더줘.,"Chica, trae dos copas aquí.",아가씨,chica,ambos
L-00-DO-05-0165,165,"사장님, 잠깐만 나가 계시겠습니까?","Señor, ¿puede salir un momento por favor?",사장님,señor,ambos
L-00-DO-05-0166,166,이봐 잠깐 나가 있어.,"Chico, sal un momento. ",이봐,chico,ambos
L-00-DO-05-0167,167,혹시 여권이나 신분증 있으십니까? 좀 보여주세요.,"¿Usted tiene pasaporte o NIE? Enséñemelo, por favor. ",당신,usted,ambos
L-00-DO-05-0168,168,너 여권이나 신분증 있어? 보여줘봐.,¿Tienes pasaporte o NIE? Enséñamelo.,너,tú,ambos
L-00-DO-05-0169,169,여자가 남자보다 운전을 못한다는 것은 편견이다.,Es un prejuicio que la mujer conduce peor que el hombre.,여자,mujer,ambos
L-00-DO-05-0170,170,운전을 왜 저렇게 해? 역시 어떤 미친년이었네.,"¿Por qué conduce así? Claro, es una tía loca.",년,tía,ambos
L-00-DO-05-0171,171,짱깨들은 길에서 소리를 엄청 질러대.,Los chinos siempre gritan mucho en la calle.,짱깨,chinos,K >S
L-00-DO-05-0172,172,그 클럽은 라틴아메리카 음악을 많이 틀어서 라틴아메리카 사람들이 많이 가요.,A esa discoteca van muchos panchitos porque ponen música latinoamericana.,라틴아메리카사람들,panchitos,S > K
L-00-DO-05-0173,173,어르신이어서 잘 안들리셔서 제가 더 크게 말할게요.,Hablaré alto porque es mayor y no oye bien.,어르신,mayores,ambos
L-00-DO-05-0174,174,꼰대 같은 말 좀 하지 마세요.,No empieces con tus historias de la guerra.,꼰대 같은 말 좀 하지 마세요.,No empieces con tus historias de la guerra.,ambos
L-00-DO-05-0175,175,신경쓰지마. 틀딱이라서 유행을 몰라.,"No le hagas caso, es viejo, no entiende de modas. ",틀딱,viejos,ambos
L-00-FM-01-0176,176,낮말은 새가 듣고 밤말은 쥐가 들으니 언제나 누구랑 얘기할때 말조심해.,"Por la boca muere el pez, por lo tanto siempre ten cuidado con lo que dices. ",낮말은 새가 듣고 밤말은 쥐가 들으니,Por la boca muere el pez,ambos
L-00-FM-01-0177,177,남의 돈 천냥보다 내 돈 한냥이 더 나으니 괜히 남을 부러워하지 마렴.,"No le envidies a otra persona sin razón porque más vale pájaro en mano, que ciento volando.",남의 돈 천냥보다 내 돈 한냥이 더 나으니,más vale pájaro en mano que cien volando,ambos
L-00-FM-01-0178,178,그 회사에서 너는 일하면서 기술도 배울수 있어. 일석이조네.,En esa empresa puedes trabajar aprendiendo muchas técnicas. Es matar dos pájaros en un tiro.,일석이조,Matar dos pájaros de un tiro,ambos
L-00-FM-01-0179,179,쟤네는 사이가 물과 기름 같아.,Son como el agua y el aceite,물과 기름,el agua y el aceite,ambos
L-00-FM-01-0180,180,이건 빙산의 일각에 불과하고 그 외의 문제는 지금 확인되지 않는다.,"Eso es solo la punta de iceberg, no se ve el resto del problema.",빙산의 일각,la punta de iceberg,ambos
