segmentid,index,ref,KO,SP
S-SS-ST-02-0060,60,A,때가 왔어요.,Es llegada la hora.
,,A',,
S-SS-ST-02-0061,61,A,택시가 도착하자 짐을 실었습니다.,"Llegado el taxi, se cargó el equipaje. "
,,A',,"Cuando el taxi llegó, se cargó el equipaje"
S-SS-ST-02-0062,62,A,해가 뜨면 수탉이 크게 웁니다.,"Cuando amanece, el gallo canta muy alto. "
,,A',,
S-SS-ST-02-0063,63,A,문제가 있었을거야.,Debe de haber problemas.
,,A',,
S-SS-ST-02-0064,64,A,요즘 날씨가 너무 좋아요.,Hace muy buen tiempo estos días.
,,A',,
S-SS-ST-02-0065,65,A,우리에게 정말 좋은 하루였습니다.,Nos hizo un día buenísimo.
,,A',,
S-SS-ST-02-0066,66,A,하루종일 흐렸어요.,Estuvo nublado todo el día.
,,A',,
S-SS-ST-02-0067,67,A,9월 초였습니다.,Eran los primeros días de septiembre.
,,A',,
S-SS-ST-02-0068,68,A,너를 봐서 얼마나 좋은지 몰라!,¡Qué gusto me da verte!
,,A',,
S-SS-ST-02-0069,69,A,그 소식을 들으니 너무 안타까웠어요.,Me dio mucha pena al escuchar esa noticia.
,,A',,
S-SS-ST-02-0070,70,A,나는 모든게 잘 되고 있어요.,Me va todo bien.
,,A',,
S-SS-ST-02-0071,71,A,냄새가 너무 지독해요.,Huele muy mal.
,,A',,
S-SS-ST-02-0072,72,A,여기 이게 의무라고 쓰여있어요.,Aquí dice que es obligatorio.
,,A',,
S-SS-ST-02-0073,73,A,이 문서에는 모든 내용이 익명의 글쓴이에 의해 쓰여졌다고 되어있어요.,En este documento pone que todo fue escrito por un autor anónimo.
,,A',,
S-SS-ST-02-0074,74,A,나는 다리가 너무 아파요.,Me duele la pierna.
,,A',,Me duele en la pierna.
S-SS-ST-02-0075,75,A,나는 그의 충고로 충분해요.,Me basta su consejo.
,,A',,Me basta con su consejo.
S-SS-ST-02-0076,76,A,여기는 관광객들에게 친절합니다.,Aquí atienden muy bien a los turistas.
,,A',,
S-SS-ST-02-0077,77,A,멕시코에선 스페인 스페인어와 구별되는 스페인어를 말합니다.,En México hablamos un español distinto al español peninsular.
,,A',,
S-SS-ST-02-0078,78,A,그 택배들은 어제 전해졌어요.,Los paquetes se mandaron ayer.
,,A',,
S-SS-ST-02-0079,79,A,모든 기사들을 검토했습니다.,Se revisaron todos los artículos.
,,A',,
S-SS-ST-02-0080,80,A,사람 자기 자신에 대해 만족한다면 행복하다.,"Si se está satisfecho consigo mismo, se es feliz. "
,,A',,
S-SS-ST-02-0081,81,A,여기선 술을 마실 수 없습니다.,Aquí no se puede tomar alcohol.
,,A',,
S-SS-ST-02-0082,82,A,그것에 대해 더 언급되어선 안돼.,De eso no se debe hablar.
,,A',,
S-SS-ST-02-0083,83,A,노력하지 않으면 좋은 성적을 받지 못합니다.,No se obtienen buenos resultados si no se trabaja.
,,A',,
S-SS-ST-02-0084,84,A,도움을 받는건 필요했어요.,Era necesario ser ayudado.
,,A',,Era necesario recibir ayuda.
S-SS-ST-02-0085,85,A,곧 큰 재앙이 있을거라고 다들 말합니다.,Se dice que habrá pronto un gran desastre.
,,A',,
S-SS-ST-02-0086,86,A,한국은 60년대에 엄청 많이 발전했어요.,Corea se ha desarrollado mucho durante los 60.
,,A',,
S-SS-ST-02-0087,87,A,성공을 바란다면 공부를 많이 해야합니다.,"Si se desea tener éxito, hay que estudiar mucho. "
,,A',,
S-SS-ST-02-0088,88,A,우수한 학생들에게 상을 줬어요.,Se premió a los mejores alumnos.
,,A',우수한 학생들은 상을 받았어요.,
S-SS-ST-02-0089,89,A,용의자를 찾고 있습니다.,Se busca a los culpables.
,,A',,
S-SS-ST-02-0090,90,A,한국에서는 한국어를 말해요.,En Corea se habla coreno.
,,A',,
S-SS-SL-01-0091,91,A,대통령은 호주가 그의 나라의 제안을 거절한 것에 대해 한탄했습니다.,El presidente lamenta que Australia rechace la prosupuesta de su país.
,,A',,El presidente lamenta el que Australia rechace la prosupuesta de su país.
S-SS-SL-01-0092,92,A,카탈루냐가 오래 전부터 독립을 주장했다는 것을 어떻게 설명하죠?,¿Cómo se explica el hecho de que Cataluña haya insistido en su independencia desde hace muchos años ?
,,A',,
S-SS-SL-01-0093,93,A,가끔 사람들에겐 이해할 수 없는 일들이 일어납니다.,Ocurre que a veces la gente no se entiende.
,,A',,
S-SS-SL-01-0094,94,A,네가 가는건 이제 상관 없어.,Ya no me importa que te vayas.
,,A',,
S-SS-SL-01-0095,95,A,북한의 핵무장이 21세기에 많이 증가한 것은 확실합니다.,Es cierto que la nuclearización de Corea del Norte ha aumentado mucho durante el siglo XXI.
,,A',,
S-SS-SL-01-0096,96,A,수업시간동안은 조용히 하겠다고 약속했습니다.,Prometió que se callaría durante la clase.
,,A',,
S-SS-SL-01-0097,97,A,모든게 괜찮다고 생각했습니다.,Pensé que todo estaba bien.
,,A',,
S-SS-SL-01-0098,98,A,우리 엄마는 내가 학교 숙제를 다하기 전에 텔레비전 보는걸 허락하지 않아요.,Mi mamá no me permite que vea la televisión antes de terminar mis deberes del colegio.
,,A',,
S-SS-SL-01-0099,99,A,그것이 네가 하고싶은대로 다 할수 있다는 것을 의미하는 것은 아냐.,Eso no significa que puedas hacer todo lo que quieras.
,,A',,
S-SS-SL-01-0100,100,A,Martina가 Juan과 헤어졌다는걸 알아차리지 못했어요.,No notaba que Martina había roto con Juan.
,,A',,No notaba que Martina hubiera roto con Juan.
S-SS-SL-01-0101,101,A,내 생각에 아르헨티나에선 그렇게 말 안해.,Supongo que no se habla así en Argentina.
,,A',,
S-SS-SL-01-0102,102,A,그녀는 그녀의 아빠가 집에서 담배피는걸 엄청 싫어합니다.,Ella odia que su papá fume en la casa.
,,A',,
S-SS-SL-01-0103,103,A,나는 그 소년이 그 사건에 책임이 있는거 같아요.,Confío en que ese chico tenga culpa de ese asunto.
,,A',나는 그 소년이 그 사건에 책임이 있다고 믿어요.,Confío en que ese chico tendrá culpa de ese asunto.
S-SS-SL-01-0104,104,A,아무도 상황이 좋다는 그의 주장을 믿지 않습니다.,Nadie está a favor de su insistencia en que la situación es buena.
,,A',,
S-SS-SL-01-0105,105,A,그 왕은 그의 형이 자신을 죽일 것이라는 두려움을 가지고 있었습니다.,Ese rey tenía mucho miedo de que su hermano lo matara.
,,A',,
S-SS-SL-01-0106,106,A,나는 그걸 이미 네가 안다고 확신해.,Estoy seguro de que ya lo sabes.
,,A',,
S-SS-SL-01-0107,107,A,우리는 이 정책이 다른 것들보다 더 낫다는 것에 대해 말했습니다.,Hablábamos de que esa medida es mejor que otras.
,,A',,
S-SS-SL-01-0108,108,A,우리에게 그가 위험에 쳐했다고 경고했다.,Nos advitirtieron de que él estaba en peligro.
,,A',,
S-SS-SL-01-0109,109,A,그는 그의 아이가 위험에 처했다는걸 알아차렸다.,Advirtió que su niño estaba en peligro.
,,A',,
S-SS-SL-01-0110,110,A,네가 좋아해서 기뻐.,Me alegro de que te guste.
,,A',,Me alegra que te guste.
S-SS-SL-01-0111,111,A,대통령은 그의 비서가 사고를 당했다는 사실을 전해듣지 못했습니다.,La presidenta no ha informado de que su secretaria haya tenido un accidente.
,,A',,La presidenta no ha informado de que su secretaria ha tenido un accidente.
S-SS-SL-01-0112,112,A,우리는 그 소식들이 Ernesto가 꾸며낸것들이라고 한번도 의심하지 않았습니다.,Nunca hemos dudado de que las noticias se las inventa Ernesto.
,,A',,
S-SS-SL-01-0113,113,A,그가 사기를 당했다는걸 깨달았다.,Se dio cuenta de que lo habían engañado.
,,A',,
S-SS-SL-01-0114,114,A,나는 네가 그런 것들을 말하는게 너무 무서워.,Me da mucho miedo que digas esas cosas.
,,A',,
S-SS-SL-01-0115,115,A,그에게 콘서트에 올건지 물어보렴.,Pregúntale si quiere venir al concierto.
,,A',,
S-SS-SL-01-0116,116,A,항상 그것은 네가 어디에 머물고 싶어하는지에 달렸단다.,Eso siempre depende de dónde quieras quedarte.
,,A',,
S-SS-SL-01-0117,117,A,누가 공주 역할에 알맞는지에 달려있다.,Depende de a quién le corresponda el papel de princesa.
,,A',,
S-SS-SL-01-0118,118,A,"너는 문제가 있긴 한데, 정확히 어떤건지는 분명하지 않지. ","Tienes problemas, pero no está claro cuáles exactamente. "
,,A',,
S-SS-SL-01-0119,119,A,내가 제때 도착할수 있을지 의문이다.,Dudo si llegaré a tiempo.
,,A',,Dudo de si llegaré a tiempo.
S-SS-SL-01-0120,120,A,그걸 어떻게 해결했는지는 정말 미스테리이다.,Es un misterio cómo lo resolvió.
,,A',,
S-SS-SL-01-0121,121,A,어제 누가 왔는지 상상해봐.,No te imaginas quién vino ayer.
,,A',,
S-SS-SL-01-0122,122,A,나는 누가 나에게 편지들을 썼는지 상상했다.,Me imaginaba bien a quien me había escrito las cartas tantas veces.
,,A',,
S-SS-SL-01-0123,123,A,은채가 정말 착함이 분명하다.,Es cierto que Eunchae es muy buena.
,,A',,
S-SS-SL-01-0124,124,A,우리는 그 정치인이 훌륭한 분임을 이제야 알게되었다.,Ya nos hemos dado cuenta de que ese político es excelente.
,,A',,
S-SS-SL-01-0125,125,A,내가 집에 일찍 돌아왔기가 다행이다.,Es una suerte que haya vuelto a casa pronto.
,,A',,Es una suerte haber vuelto a casa pronto.
S-SS-SL-01-0126,126,A,나는 정부가 그 사회문제를 잘 수습하기를 기대했다.,Esperaba que el gobierno solucionara ese problema social.
,,A',,Esperaba que el gobierno solucione ese problema social.
S-SS-SL-01-0127,127,A,이제부터 우리가 무엇을 할것이냐가 문제다.,La cuestión es qué vamos a hacer desde ahora.
,,A',,
S-SS-SL-01-0128,128,A,은채가 머리가 아주 영특하다.,Eunchae es inteligente.
,,A',,Eunchae tiene muchas luces.
S-SS-SL-01-0129,129,A,저 사람은 아들이 유명한 가수이다.,Esa persona tiene un hijo que es un cantante muy famoso.
,,A',,El hijo de esa persona es un cantante muy famoso.
S-SS-SL-01-0130,130,A',네 가방이 음료가 묻었구나,Tu bolso tiene una mancha de bebida.
,,A,,Tienes manca de bebida en el bolso.
S-SS-SL-01-0131,131,A,이 동네는 공원이 많습니다.,Este barrio tiene muchos parques.
,,A',,Hay muchos parques en este barrio.
S-SS-SL-01-0132,132,A,제 남편은 제 남편이 직접 차를 운전합니다.,Mi marido conduce él personalmente.
,,A',,
S-SS-SL-01-0133,133,A,나는 아빠가 나한테 사줬던 책을 못찾겠어.,No puedo encontrar el libro que me compró mi papá.
,,A',,
S-SS-SL-01-0134,134,A,그걸 말하고 있는 사람은 거짓말을 하고 있는 것이다.,Quien dice eso miente.
,,A',,
S-SS-SL-01-0135,135,A,화재로부터 보존된 그 문서들은 재판에서 매우 중요하게 작용할 것입니다.,Los documentos que se salvaron del incendio serán fundamentales en el juicio.
,,A',,
S-SS-SL-01-0136,136,A,할머니로부터 일어나지 않았을법한 얘기를 들었다.,He escuchado de mi abuela una historia que muy bien puede no haber ocurrido.
,,A',,
S-SS-SL-01-0137,137,A,늦게까지 남아있던 그 손님들은 해가 뜰때까지 춤을 췄다.,"Los invitados, al menos los que se quedaron, bailaron hasta el amanecer. "
,,A',,
S-SS-SL-01-0138,138,A,그 책은 내 생각에 내가 절대 안읽어 본 책이다.,Ese es el único libro que creo que no ha leído nunca.
,,A',,
S-SS-SL-01-0139,139,A,네가 여기 머물고 싶어하는 진짜 이유는 그 멕시코에서 온 여자아이 때문이야. 그렇지?,"La verdadera razón por la que quieres quedarte es la chica mexicana, ¿no?"
,,A',,"La verdadera razón por que quieres quedarte es la chica mexicana, ¿no?"
S-SS-SL-01-0140,140,A,그는 그가 할수 있는 한 최대한 냉정하게 대답했다.,Él respondió con toda la sangre fría de la que era capaz.
,,A',,
S-SS-SL-01-0141,141,A,나는 그들이 얘기하고 있는 정보를 이해하지 못하겠다.,No entiendo la información de la que ellos están hablando.
,,A',,
S-SS-SL-01-0142,142,A,내가 중요한 서류에 서명할때 쓰던 그 펜은 프랑스산이다.,La pluma con la que solía firmar los documentos importantes es de Francia.
,,A',,
S-SS-SL-01-0143,143,A,그렇게 행동하는 방식은 옳지 않다.,No es correcto la forma en la que se comporta.
,,A',,No es correcta la forma en la que se comporta.
S-SS-SL-01-0144,144,A,우리 엄마는 나에게 엄마의 자매들이 돌을 가지고 놀던 방법을 알려줬다.,Mi mamá me enseñó la manera en la que sus hermanas jugaban con las piedras.
,,A',,Mi mamá me enseñó la manera en que sus hermanas jugaban con las piedras.
S-SS-SL-01-0145,145,A,너는 우리가 처음으로 만나게 된 날을 기억하니?,¿Recuerdas el día en que nos conocimos por primera vez?
,,A',,¿Recuerdas el día que nos conocimos por primera vez?
S-SS-SL-01-0146,146,A,나는 오늘 내가 원래 주차하던 곳에 주차하지 않았다.,Hoy no he aparcado mi coche en el lugar en que solía aparcarlo.
,,A',,Hoy no he aparcado mi coche donde solía aparcarlo.
S-SS-SL-01-0147,147,A,나는 내 논문에 대해 논의하기 위해 꼭 만나야하는 사람을 찾지 못했어요.,No encontré a la persona a la que debería conocer para discutir sobre mi tesis.
,,A',,
S-SS-SL-01-0148,148,A,20대에는 내가 도달해야하는 그 한계를 전혀 상상하지 않았다.,Nunca imaginó los límites a los cuales tendría que llegar en los años venideros.
,,A',,
S-SS-SL-01-0149,149,A,혹시 후안이 쓴 편지의 주인공인 그 여자를 아니?,¿Conoces a la chica a quien se dirige la carta escrita por Juan?
,,A',,¿Conoces a la chica a la cual se dirige la carta escrita por Juan?
S-SS-SL-01-0150,150,A,줄무늬 파자마가 보이는 어두운 외투를 입고 있었다.,Llevaba un abrigo oscuro por debajo del cual asomaba un pijama listado.
,,A',,
S-SS-SL-01-0151,151,A,어제는 후안과 마리아의 사랑이 시작된 날이다.,Ayer fue el día en que empezó el amor entre Juan y María.
,,A',,Ayer fue el día que empezó el amor entre Juan y María.
S-SS-SL-01-0152,152,A,그가 어제 너에게 얘기했던 정치인이다.,Ese es el político del cual te hablé ayer.
,,A',,
S-SS-SL-01-0153,153,A,나는 그때 내가 일했던 회사를 별로 안좋아한다.,La empresa para la cual trabajaba en esa época no le gustaba mucho.
,,A',,
S-SS-SL-01-0154,154,A,그 일에 대해 아직 아무것도 모르는 장관들이 모였었다.,"Se reunió con los ministros, los cuales todavía no sabían nada de lo ocurrido."
,,A',,
S-SS-SL-01-0155,155,A,내 생각에 너는 내가 지금 검토하고 있는 보고서를 찾고 있는거 같아.,Creo que estás buscando los informes que estoy revisando ahora.
,,A',,
S-SS-SL-01-0156,156,A,나는 내가 화가 많이 나있던 친구들이랑 그 문제를 해결하기 위해 만난다.,He quedado con los amigos con quienes me enfadé para solucionar el problema.
,,A',,
S-SS-SL-01-0157,157,A,경찰은 그 사고가 일어난걸 목격한 사람들에게 많은 것들을 질문하고 있습니다.,La policía está preguntado muchas cosas a quienes vieron cómo sucedió ese accidente.
,,A',,
S-SS-SL-01-0158,158,A,어제 한 기차만 출발했는데 그 기차는 마드리드로 석유를 운반하는 기차에요.,"Ayer solo salió un tren, que transportaba petróleo a Madrid. "
,,A',,
S-SS-SL-01-0159,159,A,어제 마드리드로 석유를 운반하는 기차만 출발했어요.,Ayer solo salió un tren que transortaba petróleo a Madrid.
,,A',,
S-SS-SL-01-0160,160,A,어제 후쿠오카와 도쿄를 오가던 비행기가 사고가 났어요.,Ayer tuvo un accidente el avión que volaba entre Fukuoka y Tokio.
,,A',,
S-SS-SL-01-0161,161,A,어제 비행기가 사고가 났는데 그 비행기는 후쿠오카와 도쿄를 오가던 비행기에요.,"Ayer tuvo un accidente el avión, que volaba entre Fukuoka y Tokio. "
,,A',,
S-SS-SL-01-0162,162,A,그는 그가 함께 일했던 변호사와 결혼했어요.,Él se casó con la abogada con quien había trabajado.
,,A',,
S-SS-SL-01-0163,163,A,우리 아빠는 우리 오빠의 차가 박은 벽을 수리하고 있어요.,Mi papá está reparando la pared contra la cual chocó el coche de mi hermano.
,,A',,
S-SS-SL-01-0164,164,A,그들은 집에 도착했고 많은 양의 마약을 찾았는데 그 양의 마약은 작은 소매상들에게 팔기 위한 것이었어요.,"Llegaron a su casa y le encontraron cierta cantidad de droga, la misma que utilizaba para vender a expendios pequeños. "
,,A',,
S-SS-SL-01-0165,165,A,바르셀로나 대학에서 공부하는 딸을 가진 그 여자 역시 같은 대학을 졸업했습니다.,La mujer cuya hija estudia en la UAB también se graduó en la misma universidad.
,,A',,
S-SS-SL-01-0166,166,A,당신의 문제를 내가 알게 한 진술을 한 사람은 유명한 변호사입니다.,La persona por cuyas declaraciones me enteré de tu problema es un abogado famoso.
,,A',,
S-SS-SL-01-0167,167,A,희귀한 이름을 가진 사람들이 있어요.,Hay personas cuyos nombres son rarísimos.
,,A',,Hay personas que tienen nombres son rarisimos.
S-SS-SL-01-0168,168,A,우리 아빠는 두개의 가게를 운영했는데 그 가게의 수입으로 나는 대학 공부를 할 수 있었다.,"Mi padre tenía dos tiendas, con cuyos ingresos pude hacer la carrera. "
,,A',,Mi padre tenía dos tiendas y con esos ingresos pude hacer la carrera.
S-SS-SL-01-0169,169,A,30개가 넘는 언어로 번역된 소설의 작가는 다음 소설을 쓰고 있습니다.,"El autor, cuya novela fue traducida en más de 30 lenguas, está escribiendo la siguiente novela. "
,,A',,
S-SS-SL-01-0170,170,A,너 그 태풍으로 창문이 다 깨진 그 집에 사니?,¿Vives en la casa cuyas ventantas están rotas por la tormenta?
,,A',,¿Vives en la casa con las ventanas rotas?
S-SS-SL-01-0171,171,A,나는 바퀴가 한국산이 아니라 독일산인 차를 가지고 싶어요.,"Quiero tener un coche cuyas ruedas sean de Alemania, no de Corea. "
,,A',,"Quiero tener un coche con las ruedas de Alemania, no de Corea. "
S-SS-SL-01-0172,172,A,걔는 Sofía를 알게되었는데 그 덕에 많은 사업을 시작했다.,"Conoció a Sofía, gracias a la cual montó muchos negocios. "
,,A',,"Conoció a Sofía, gracias a la que montó muchos negocios. "
S-SS-SL-01-0173,173,A,저 사람들이 방에 들어가기 싫어했던 사람들이에요.,Fueron esas personas quienes no quisieron entrar a la sala.
,,A',,Fueron esas personas las que no quisieron entrar a la sala.
S-SS-SL-01-0174,174,A,학생들 중 멀리사는 학생들이 늦게 도착했어요.,"Los alumnos, quienes vivían lejos, llegaron tarde. "
,,A',,"Los alumnos, que vivían lejos, llegaron tarde. "
S-SS-SL-01-0175,175,A,그들이 원하는 것을 모르는 사람들이 있다.,Hay quienes no saben lo que quieren.
,,A',,
S-SS-SL-01-0176,176,A,대학생들은 그의 전공에 대해 연구하고 생각해야하는 학생들이다.,Los estudiantes universitaros son quienes deben investigar y pensar de su carrera.
,,A',,Los estudiantes universitaros son los que deben investigar y pensar de su carrera.
S-SS-SL-01-0177,177,A,그는 아는대로 말했다.,Dijo cuanto sabía.
,,A',그는 아는 모든 것을 말했다.,Dijo todo lo que sabía.
S-SS-SL-01-0178,178,A,네가 원하는대로 다 초대해.,Invita a cuantos quieras.
,,A',네가 원하는 만큼 초대해,Invita a todos los que quieras.
S-SS-SL-01-0179,179,A,나는 그 건물이 무너지던 순간을 아직도 기억한다.,Yo aún recuerdo aquel momento cuando había destruido el edificio.
,,A',,Yo aún recuerdo aquel momento en que había destuido el edificio.
S-SS-SL-01-0180,180,A,나는 중세 건물들이 많은 도시로 여행가고 싶다.,Quiero viajar a una ciudad donde haya muchos edificios medivales.
,,A',,Quiero viajar a una ciudad en la que haya muchos edificios medivales.
S-SS-SL-01-0181,181,A,나는 그 재해에 대한 뉴스를 세계 어느 곳이든 다 알고 있을거라고 생각했다.,Yo tenía entendido que a cualquier lugar del mundo a donde llegara se tendrían noticias de la catastrofe.
,,A',나는 세계 어디를 가든 그 재난 소식이 있을 것이라고 알고있었다.,
S-SS-SL-01-0182,182,A,내가 일하던 곳에서 매우 가깝다.,Está muy cerca de donde trabajaba.
,,A',,
S-SS-SL-01-0183,183,A,나는 하윤이가 착한 아이라는 생각이 들었다.,Pienso que Hayun es una chica muy buena.
,,A',,
S-SS-SL-01-0184,184,A,나는 윤도가 성공할거라는 믿음을 가지고 있다.,Confío en que Yundo tenga éxito.
,,A',,
S-SS-SL-01-0185,185,A,나는 내가 미래에 대통령이 되는 상상을 한다.,Imagino que seré presidente en el futuro.
,,A',,
S-SS-SL-02-0186,186,A,걸어서 학교에 오니?,¿Vienes al colegio caminando?
,,A',,
S-SS-SL-02-0187,187,A,우리 할머니가 알려주신대로 빠에야를 요리했어요.,He cocinado la paella como me enseñó mi abuela.
,,A',,He hecho la paella como me enseñó mi abuela.
S-SS-SL-02-0188,188,A,교수님이 나에게 말해주시는대로 글을 써볼거에요.,Escribiré el texto como me diga la profesora.
,,A',,
S-SS-SL-02-0189,189,A,어떠한 도움 필요 없이 그걸 해냈어요.,Lo hice sin necesitar ayuda.
,,A',,
S-SS-SL-02-0190,190,A,우리 부모님이 절 도와주시지 않고도 그걸 했어요.,Lo hice sin que me ayudaran mis padres.
,,A',,
S-SS-SL-02-0191,191,A,합격하지 않은것처럼 공부했다.,Estudió como si no hubiera aprobado.
,,A',,
