segmentid,index,한국어,스페인어,Note
M-TE-ST-01-0011,11,"- 어울려서 좋을 게 없는 애들인데
왜 볼 때마다 걔들이랑 있는 거야?
- 오빠는 왜 걔들을 건드리는데?
- 네가 또 다치는 게 싫으니까!
- 파블로는 날 해치려던 게 아냐 
- 마리나!
그런 얘기 할 때 아냐
- 그럼 언제 하죠?
언제 하면 좋은데요?
왜 그 얘기를 못 하죠?
제게 아무 일도 없었고
아무 문제 없을 거라고 믿게 만들려고
정신과 의사한테 큰돈을 쓰셨지만
그거 아세요?
이 얘기를 피하실 때마다 제가 쓰레기가 된 기분이에요
전 남자애랑 사랑에 빠졌고 성병에 감염됐어요
다들 말하라고요!
어서 말해봐요, 엄마!","- Esa gente es un veneno, Marina. Y lo sabes.
¿Por qué cada vez que me doy la vuelta parece que estás con ellos?
- ¿Por qué no les dejas en paz?
Porque me niego a que te vuelvan a hacer daño, Marina.
- Que Pablo no quería hacerme daño. 
- Marina.
No es el momento, por favor.
- ¿Y cuándo?
Dime cuándo es el momento.
¿Por qué no podemos hablar del tema?
Os habéis gastado una pasta en psicólogos para convencerme de que no pasaba nada.
De que la vida seguía, que todo iba a ir bien.
¿Y sabéis qué?
Que cada vez que evitáis el tema, me siento como una puta mierda.
Me enamoré como una imbécil de un chico y me contagió.
Necesito que lo digáis.
Dilo, dilo, mamá.",엘리트들 / Elites
M-TE-ST-01-0012,12,"- 됐다
- 내 휴대폰 내놔!
- 알겠어
- 멍청하긴
모르는 사람들을 집에 들이게
될 텐데 무책임하잖아
-그게 제일 중요하지
하지만 난 널 알아
넌 그 부잣집 여자애가
오는지에만 관심 있잖아
그래서 이런 서커스도
벌이는 거고
-멍청한 소리 마","- Creado. Ya está. 
- ¡Dame el móvil!
- Ya. 
- Imbécil.
Ahora tenemos gente en casa que no conocemos.
Eres un irresponsable.
-Eso sobre todo. Pero te conozco un rato, Samu.
Sé que solo te interesa que venga la pija esa.
Por eso montas todo este circo.
-Idiota.",엘리트들 / Elites
M-TE-ST-01-0013,13,"- 난 네가 내...
- 알아
- 네 여동생처럼 되진 않아
걘 약에 취해 이용당했지만
난 누구한테도 이용 안 당해
- 네가 내 부모님처럼
될까 봐 그래
- 너희 부모님이 무슨...
- 내 친부모 말이야
일주일 전에 기관에 갔어
어떻게 사는지 알아보려고
내가 10년 늦게 찾아갔더라
둘 다 마약 과용으로 죽었지
그건 네 인생을 망칠 거야
그렇게 둘 순 없어
넌 내 친구니까
- 왜 여태 얘기 안 했어?
- 우린 이런 얘기 안 했잖아
차, 여자, 파티 얘기나 했지
- 이런 얘기도 해야겠네
- 그래","- No quiero que... 
- ¡Que sí, Guzmán!
¡No voy a acabar como tu hermana!
A ella la drogaron y se aprovecharon de ella,
pero de mí no se aprovecha ni Dios.
No quiero que acabes como mis padres.
- ¿Tus padres qué tienen que ver? 
- Mis padres biológicos, Ander.
Hace una semana fui a la agencia. Quería saber cómo estaban.
Por lo visto llegué diez años tarde.
Han palmado por sobredosis.
Esa mierda te destroza la vida, tío. 
Yo no puedo dejar que te pase nada.
Eres mi amigo.
- ¿Por qué no me lo has contado antes?
- Pues, tú y yo hablamos de otras cosas.
Hablamos de coches, de tías, de fiesta, pero no de eso.
- Quizá deberíamos, ¿no?
- Pues sí.
",엘리트들 / Elites
M-TE-ST-01-0014,14,"- 네 꼴이 어떤지 봤어?
- 저번에 무슨 일이 있었는지
다시 알려줘야 해?
이번엔 뭘 먹었어?
- 파블로는 나한테 약 안 먹였어
같이 담배 좀 피운 게 다야
내가 원해서 같이 잔 거고
운이 나빴던 거지
- 운이 아니야, 넌 그런 놈이랑
자고도 정신 못 차리고
계속 그런 부류랑 어울려
- 아직도 그게
가난한 사람들 병이라고 생각해?
- 파블로는 오빠처럼
상류층 여자애들을 좋아했어
어떻게 감염됐을 것 같아?
누구한테나
일어날 수 있는 일이야
오빠도 감염될 수 있어
HIV는 집이 얼마나 크고
돈을 얼마나 벌고
성이 얼마나 긴지는
전혀 신경 안 쓰거든","- ¿Tú te has visto?
¿Te tengo que recordar lo que pasó la última vez que te dejamos en paz?
¿Qué has tomado esta vez?
- Que Pablo no me drogó. Que solo fumamos un poco y ya está.
Pero lo hice con él porque yo quise, y punto, y tuve mala suerte.
- Mala suerte, no. Lo hiciste con quien no debías, 
pero no aprendes
y sigues juntándote con esa gente.
¿De verdad sigues creyendo que es una enfermedad de pobres, no?
A Pablo le gustaban las niñas pijas como a ti.
- ¿O cómo te crees que se contagió él, si no?
Que le puede pasar a cualquiera.
Es que te puede pasar a ti también.
Que al VIH le importa una mierda
cómo de grande sea tu casa,
cuánto dinero ganas o cómo de largos son tus apellidos.
Que no es como tú.",엘리트들 / Elites
M-TE-ST-01-0015,15,"- 구스만
- 무슨 짓이야?
- 무슨 약 했어?
- 그런 거 아냐
- 너 취했어!
- 아냐!
입도 못 다물면서?
- 약 안 했어!
- 너!
뭘 준 거야?
- 아무것도 안 줬어
- 내 친구한테 접근하지 마 기침약도 주지 마 안 그러면 너희 가족이 네가 뭘 하고 다니는지 알게 될 거야!
- 구스만, 쟤한테 산 거 아니야
- 거짓말 그만해 저놈한테 다 들었어
","- Guzmán, ya... 
- Pero ¿qué haces?
- ¿Qué te has tomado? 
- No me he tomado nada.
- ¡Estás drogado! 
- ¡Que no!
- No cierras la boca. 
- ¡No he tomado nada!
- Tú. 
¿Qué le has dado a mi amigo? 
- Yo nada.
- Como te vuelves a acercar aunque sea para darle una pastilla para la tos, te juro que tu hermana, tu madre, tu padre y toda tu puta familia va a saber lo que haces.
- Guzmán, que él no es quien me pasa.
- ¡Que me dejes de mentir, retrasado, que me lo dijo él!",엘리트들 / Elites
M-TE-ST-01-0016,16,"- 목격자가 당신이 피투성이로 학교를 빠져나갔다는군요
- 목격자요?
물론 부잣집 애겠죠
걔들은 거짓말이라곤 안 하니까. 그렇죠?
- 목격자는 사무엘이에요
당신 동생
거짓말인가요?
- 내가 마리나를 해칠 리 없단 건
사무엘이 잘 알 겁니다
- 왜죠?
- 우린 연인이었거든요","- Tenemos un testigo que te vio salir corriendo manchado de sangre.
- ¿Un testigo?
Claro, un niñito rico, seguro.
Por supuesto, porque ellos nunca mienten, ¿verdad?
- Nuestro testigo es Samuel.
Tu hermano.
¿Está mintiendo?
Él sabe perfectamente que yo nunca haría daño a Marina.
- ¿Por qué? 
- Porque estábamos juntos.",
M-TE-ST-01-0017,17,"- 크리스티안, 생선 좋아해?
- 저의가 있는 질문이야?
-저녁 먹을 건데
같이 먹었으면 해서
너한테 진 빚도 있고
- 좋아","- Christian, ¿te gusta el pescado?
- Eh, ¿eso va con segundas?
- Vamos a pedir la cena y queremos invitarte.
Además, creo que te lo debemos.
-Vale.",엘리트들 / Elites
M-TE-ST-01-0018,18,"- 마리나가 임신한 건 알았어요?
- 알았냐고요?
누구 애였다고 생각해요?
왜 우리가 같이 달아나려고 했을 것 같아요?
- 마리나를 데리러 학교에 갔다가...
그렇게 된 걸 발견한 거예요
우린 여기서 최대한 멀리 떠나고 싶었어요
그걸 용납 못 할 사람이 누군지 알아요?
당신 목격자예요
- 그러니까 지금...
당신 동생이 마리나를 죽였단 건가요?","- ¿Sabía que estaba embarazada?
- ¿Que si lo sabía?
¿De quién se piensa que era ese crío?
¿Por qué se cree que nos íbamos a largar juntos?
Fui a recogerla al colegio...
Me la encontré así.
Queríamos irnos a tomar por culo de aquí.
¿Sabe quién no soportaba esa idea?
Su puto testigo.
- ¿Estás sugiriendo...
...que tu hermano la mató?",엘리트들 / Elites
M-TE-ST-01-0019,19,"- 사무엘, 휴대폰 주렴
- 죄송해요, 엄마예요
중요한 내용이면 반 친구들한테도...
- 휴대폰 내놓으렴 
- 엄마였어요
- 규칙 알잖니 누구였든 휴대폰 내놔라
- 엄마가 몇 시에 끝나는지 물어본 거예요
- 나디아, 읽어 봐라
- 읽어 
- 안 돼
- '마리나는 에이즈 아냐, 멍청아'
'HIV라고' 
- 그만 읽어!
뭔 소리를 지껄인 거야?
- 구스만, 진정해라
- 뭘 쓴 거냐고! 
- 진정해!
- 어떻게 그걸 읽게 하죠? 
- 예의부터 지켜라
그리고 휴대폰 사용은 금지고 난 그럴 권리가 있었다
- 권리 좋아하시네요 
- 입 다물어","- ¿Me das el teléfono?
- Era mi madre.
- Conoces las normas, Samuel. Me da igual, dame el teléfono.
- Me estaba preguntando que a qué hora salgo.
- Nadia, lee, por favor.
- Lee.
- No.
- ""Marina no tiene sida, animal.
- Es VIH""...
- ¡Deja de leer!
¿Qué coño pasa, eh?
- Guzmán, tranquilo.
- ¿Qué coño escribes?
- Tranquilízate.
- ¿Y tú por qué le dejas leerlo?
- Primero, me hablas con respeto.
Segundo, conocéis las normas.
No se pueden utilizar móviles,estaba en todo mi derecho.
- Te ha salido muy bien.
- Cállate.",엘리트들 / Elites
M-TE-ST-01-0020,20,"- 안녕 
- 안녕
- 걱정 마 
- 그래
- 괜찮아
미결 구금이니 보석금만 내면 나오실 거야
- 그게 얼만데?
- 30만 유로
- 오후에 낼 거야 
- 재판은?
- 상관없어, 증거도 없고
- 근데 왜 기소한 거야? 
- 젠장, 나도 몰라!
어떤 판사가 뉴스에 나오고 싶었나 보지
아빠한테 불리한 건 없어 증거가 없다고
","- Hola. 
- Hola.
- No te rayes, tío. 
- Que no.
- No pasa nada.
Es prisión provisional. Se paga la fianza y fuera.
- ¿Y cuánto es?
- Trescientos mil.
- Esta tarde pagamos. 
- ¿Y el juicio?
- Me da igual. No tienen nada.
- Entonces, ¿por qué le han acusado? 
- ¡Pues yo qué sé, joder, Ander!
Porque algún juez tenía ganas de salir en las noticias. ¡Ni puta idea!
Pero no tienen nada contra él, ¿vale? No tienen ninguna prueba.",엘리트들 / Elites
M-TE-ST-01-0021,21,"- 오마르!
여긴 왜 왔어?
미쳤어?
- 반갑다 
- 마리나 오빠가 누군지 알아?
걔가 알면 무슨 짓을 할 줄 알고!
- 난 돈만 벌면 돼 
- 오마르
뭐 때문에? 돈을 왜 버는데?
- 네가 무슨 상관이야? 
- 걱정되니까 그렇지, 멍청아
감옥살이를 하게 되거나... 설마 운동화나 오토바이 사려는 건 아니지?
- 지금 내가 사는 곳이 감옥이야
이 돈이 날 자유롭게 해줄 거라고
집 떠날 자금이야
이제 알겠어?
- 오마르 
- 이거 놔","- ¡Eh!
¿Qué haces aquí? 
¿Eres gilipollas, o qué?
- Hola, ¿eh? 
- ¿Tú sabes quién es el hermano de Marina?
¿Sabes de lo que es capaz si se entera?
- Me da igual, necesito la pasta. 
- Omar.
¿Para qué? ¿Qué quieres?
- ¿Y a ti qué te importa? 
- Me importas tú. ¡Imbécil!
No quiero que por...
Por comprarte unas zapatillas, una moto o cualquier cosa acabes en la cárcel.
- Yo ya vivo en una puta cárcel.
Esto, esta pasta es lo que me va a hacer libre.
Es para irme de casa.
¿Lo entiendes ahora?
- Omar. 
- Quita.",엘리트들 / Elites
M-TE-ST-01-0022,22,"- 누가 팔았지?
- 네? 
- 마약상 말이다
미성년자한테, 그것도 학교에서 약을 판 게 누구야?
- 몰라요 이름은 들은 적 없어요
- 번호는 있을 거 아니니 문자 해서 만난 거 아냐?
휴대폰 다오

- 안 돼요 
- 이건 심각한 일이야
이름만 알면 돼
마리나, 휴대폰 달라니까!
- 안 돼요 
- 어서 내놔!
- 이름은 말할 테니 제발 신고하지 마세요
- 휴대폰 내놓으렴
- 오마르예요 이름은 오마르고 나디아 오빠예요","- ¿Quién te lo ha vendido?
- ¿Cómo? 
- Tu camello.
El que no ha tenido problema en vender droga a una menor en su colegio.
- No sé, es que nunca me ha dicho su nombre.
-¿No tienes su número? ¿No le has escrito para quedar con él?
- El teléfono.

- No. 
- Marina, esto es serio.
Solo necesito un nombre.
Marina, dame el teléfono. Marina.
-  No puedo. 
- ¡Dámelo!
- Le doy un nombre, pero por favor no le denuncie.
- Dame el teléfono.
- ¡Omar!
Se llama Omar, es el hermano de Nadia.
",엘리트들 / Elites
M-TE-ST-01-0023,23,"- 훨씬 낫네
넌 입 다물고 있을 때 더 예뻐
- 아빠가 그런 짓을 했는데 내가 면회를 갈 것 같아?
- 글쎄
설명할 기회는 줘야 하지 않을까?
그리고 너희 아버지잖아
- 아버지는 도둑이야
가족 재산까지 훔쳤으니 아무것도 얻을 자격 없어
- 그건 판사가 결정할 일이야
가족은 언제나 힘이 돼 줘야 해
그래야 가족이지
- 내가 가야 한다고 생각해?
너희 아버지라면 너한테 그러실걸?","- Te ves mejor, ¿eh?
Calladita te ves más bonita.
- ¿De verdad crees que con lo que ha hecho voy a verle a la cárcel?
- No sé.
Se merece una oportunidad, ¿no? Para explicarse.
Y es tu padre.
- Es un ladrón.
Le ha robado hasta a su familia, no se merece nada.
-  Mira, lo que merece debería decidirlo un juez.
La familia está para apoyarse siempre.
Si no, ¿para qué sirve?
- ¿De verdad debería ir?
Yo creo que es lo que él haría por ti.",엘리트들 / Elites
M-TE-ST-01-0024,24,"- 폴로, 마지막으로 물을게
진짜 저놈한테 네 여친을 뺏길 거야?
- 나 무시하는 거 못 봤어?
내 말은 안 들어 
- 말은 그만둬
네가 사랑한다는 걸 행동으로 보여주라고!
- 너야 남 얘기니까 쉽겠지
어떻게?
- 그거까지 알려줘야 해?","- Polo, por última vez,
¿vas a dejar que el del puto casquete
te quite la novia delante de tus narices?
- Pero ¿no ves que ella pasa de mí?
No escucha. 
- Pues déjate de cháchara, joder.
Muéstrale que la quieres, pasa a la acción, haz algo.
- Claro, qué fácil es para ti.
¿Cómo?
- ¿Te lo tengo que dar todo hecho?",엘리트들 / Elites
M-TE-ST-01-0025,25,"- 뭐지?
- 어떻게 된 거야?
폴로, 무슨 짓을 한 거야?
- 모르겠어
- 숨을 안 쉬는 것 같아 
- 누가 숨을 안 쉬어?
- 본 사람 있어?
폴로, 널 본 사람 있어?
좋아
- 피부터 닦자, 이리 와
그래, 손 줘 봐
- 셔츠도 벗어야겠어
- 크리스티안 
- 응?
- 셔츠 남는 거 있어?
- 설명 좀... 
- 셔츠나 가져와!
- 날 봐!
저 트로피 없애
누구한테도 들키면 안 돼 알아들어?
- 누가 숨을 안 쉬는데?
폴로! 누가 숨을 안 쉬냐고
- 마리나","- ¿Qué coño?
- ¿Qué ha pasado?
Polo, ¿qué has hecho?
- No lo sé.
- Pero creo que no respira.
- ¿Quién no respira?
- ¿Te ha visto alguien?
Polo, ¿te ha visto alguien?
Bien.
- Tenemos que limpiarte la sangre, ven.
Vale.Las manos, dame las manos.
La puta camisa.
- Christian. 
- ¿Qué?
- ¿Tienes una camisa para prestársela?
- ¿Me podéis explicar...? 
- ¡Coge una puta camisa!
- ¡Mírame!
Deshazte del trofeo.
Que nadie te vea con él, ¿me oyes?
- ¿Me puedes explicar de una puta vez quién cojones no respira?
¡Polo! ¿Quién coño no respira, joder?
- Marina.",엘리트들 / Elites
M-TE-ST-01-0026,26,"-저기, 시간 있어?
- 아니.
- 중국 어선에서 요리할 기회가 있는데... 설거지는 안 해도 돼.

""잠시 중국인을 떠올렸고 내가 침 뱉는 사람을 싫어한다는 게 떠올랐다.""

- 당신 뭐야? 경찰이야? 
- 잠깐, 거기로 가면 죽어. 무장 기동대가 당신을 기다리고 있어. 지난 6일간 당신을... 
- 왜 그 말을 믿어야 하지?

나는 그렇게 교수를 만났다. 고환에 총을 겨누며 말이다.","- Perdona, ¿tienes un minuto?
- No.
- Lo de cocinar en un barco chino solo tiene una ventaja, que no tienes que fregar los platos.

""Por un momento pensé en los chinos y en que odio a la gente que escupe"".

- ¿Quién eres, policía? 
- Espera, espera. Vas de camino al matadero, tienes a un equipo esperándote y tienen un coche desde hace seis días...
- ¿Por qué te voy a creer?

""Y así conocí al Profesor, apuntándole con una pistola en las pelotas"".",종이의 집 / La casa de Papel - S01 E01
M-TE-ST-01-0027,27,"- 앞으로 이곳에 살 거야. 화난 군중으로부터 멀리 떨어져서, 5개월 동안 이 작전을 연구할 거지.
- 5개월이라니?
- 미쳤어?
- 생각해 봐 사람들은 돈을 벌기 위해 학교에 다니지 그렇게 해서 잘 풀린다 해도 형편없는 일을 해. 5개월이 대수야? 난 그것보다 훨씬 더 오래 이 일을 고민해 왔어. 성공해서 다시는 일하지 않으려고. 당신들도 마찬가지야. 당신들의 자녀도. 지금 서로를 잘 모르겠지만 그렇게 계속 유지했으면 해. 이름도, 개인적인 질문도 피하도록, 연애는 물론이고. 각자 쉬운 이름을 정해줘. 숫자나, 행성 도시 이름도 좋아.
- 17번 씨, 23번 양 이렇게?
- 시작부터 난감하네 내 전화번호도 기억 못 하는데
- 그래서 말한 거잖아
- 행성은?
- 난 화성을 하고 이쪽은 천왕성이 좋겠네
- 난 천왕성 할 생각 없어
- 천왕성이 어때서? 
- 이상하잖아
- 그럼 도시로 하지. 도시가 좋겠네
- 좋아","- Viviremos aquí, alejados del mundanal ruido.
- Cinco meses, los cinco meses que pasaremos estudiando cómo dar el golpe. 
- ¿Cómo que cinco meses?
- ¿Estamos locos o qué?
- Mira, la gente pasa años estudiando para tener un sueldo, un sueldo que, en el mejor de los casos, no deja de ser un sueldo, un sueldo de mierda.¿Qué son cinco meses? Yo llevo pensando en esto... mucho más tiempo. Para no volver a trabajar en mi vida. Ni vosotros... ni vuestros hijos. Bien. De momento no os conocéis y quiero que siga siendo así. No quiero nada de nombres, ni preguntas personales, ni, por supuesto, relaciones personales. Quiero que cada uno elija un nombre, algo sencillo. Puede ser números, planetas, ciudades...
-Rollo ""Señor 17, la señorita 23"". 
-Ya empezamos mal. Yo no sé recordar mi número de teléfono. 
-Por eso te lo digo.
-¿Y planetas? Yo puedo ser Marte, este Urano.
-Yo Urano no seré, así que te olvidas.
-¿Qué le pasa a Urano? 
-Que tiene mala rima.
- Van a ser ciudades, ciudades. Quedamos con ciudades.
- Bien.",종이의 집 / La casa de Papel - S01 E01
M-TE-ST-01-0028,28,"- 이 가면은 누가 골랐어?
- 이게 왜? 
- 하나도 안 무섭잖아
- 영화를 보면 다들 무서운 가면을 써. 좀비, 해골 죽음의 천사...
- 총을 들고 있다면 해골보다 더 무서운 게 미친 짓이야.
- 그만해 
- 수염 난 이놈은 누구야?
- 달리야, 아주 뛰어난 스페인 화가지
- 화가였구나 
- 그래
- 그림을 그리는 화가 
- 그래","- ¿Quién eligió la careta?
-¿Qué le pasa a la careta? 
-Que no da miedo.
- Tú ves las pelis de atracadores y las caretas dan miedo. Son zombis, esqueletos, la muerte, yo qué sé, sientes...
- Con un arma en la mano e aseguro que da más miedo un loco que un esqueleto.
-Venga ya. 
-¿Quién era el payo este del bigote?
-Dalí, hijo, un pintor español. Era muy bueno.
-Un pintor. 
-Sí.
-Un pintor de pintar. 
-Sí.",종이의 집 / La casa de Papel - S01 E01
